id,severity,description,repository,source,opened_at,closed_at,html_url,line_number,filepath,pattern_internal_id
3c1586cb-f71f-4d25-88c3-f7bb9d73cf45,High,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).  ,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-13T01:33:40.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661139,55,user_interface/User_Interface/windows/runner/utils.cpp,flawfinder_wcslen
76f1f319-cc37-4514-b0d6-2a38e37c176a,Critical,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-13T01:33:40.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661298,96,tools/pseudocode_translator/models/__init__.py,Semgrep_python.lang.security.audit.non-literal-import.non-literal-import
a448515b-5379-4eea-b623-d0b4a2374198,Critical,Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-12T23:50:25.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661299,144,database/tag_fallback.py,Semgrep_python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query
9a43b584-2936-4b44-852a-8379ac07bf30,Critical,SQL Injection is a critical vulnerability that can lead to data or system compromise.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-12T23:50:25.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661300,355,database/notes_repository.py,Semgrep_python_sql_rule-hardcoded-sql-expression
d2a4824f-1bf8-4ce2-920b-23b2ddf684dc,Critical,SQL Injection is a critical vulnerability that can lead to data or system compromise.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-12T23:50:25.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661301,248,database/notes_repository.py,Semgrep_python_sql_rule-hardcoded-sql-expression
bcc75349-4713-4084-be69-9cef507c8c78,Critical,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-13T01:33:40.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661302,71,database/notes_security.py,Semgrep_python.lang.security.audit.non-literal-import.non-literal-import
ccf565a9-60fd-48e3-a5c7-d56cac24f135,Medium,Middleware Application Object Problem?,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,"2025-10-12T23:55:05.000Z",https://app.codacy.com/p/738545/issues/index?resultDataId=131389661303,80,core_router/app.py,Semgrep_python.lang.security.audit.CWE-332.milliseconds-forged-expires-at.CWE-332
61b8cf6e-67ec-41a2-8824-4d87eb4b353a,Critical,Untrusted user input in `importlib.import_module()` function allows an attacker to load arbitrary code.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661303,112,rag/__init__.py,Semgrep_python.lang.security.audit.non-literal-import.non-literal-import
5753c6c7-4995-45b9-928b-208a57f08f39,Critical,Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-12T23:50:25.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661304,377,database/notes_repository.py,Semgrep_python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query
dbdc61b7-2436-4a40-a32f-f79dab2cce98,Critical,Detected possible formatted SQL query.,DinoAir3,Codacy,2025-10-09T23:38:11.221Z,2025-10-12T23:50:25.000Z,https://app.codacy.com/p/738545/issues/index?resultDataId=131389661305,592,database/notes_repository.py,Semgrep_python.lang.security.audit.formatted-sql-query.formatted-sql-query
